Especie;Familia;Nombre común;Genero;Diámetro;Altura;Copa;Riego;Unidades;Código vía
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.15;5;4.5;NO RIEGO;1;278
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.06;3.5;3;NO RIEGO;1;278
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.07;3.5;2;NO RIEGO;1;268
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.04;3.5;0.75;ASPERSION;1;465
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.04;3.5;0.75;ASPERSION;1;465
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.04;3.5;0.5;ASPERSION;1;465
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.04;3.5;1;ASPERSION;1;465
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.07;5;2;ASPERSION;1;465
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.04;3.5;0.75;ASPERSION;1;2363
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.03;3.5;0.5;ASPERSION;1;2363
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.04;3.5;0.5;ASPERSION;1;2363
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.05;3.5;0.75;ASPERSION;1;2363
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.07;3.5;2;ASPERSION;1;2363
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.04;3.5;0.5;ASPERSION;1;2363
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.03;3.5;0.5;ASPERSION;1;465
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.04;3.5;0.5;ASPERSION;1;2363
